시간,버튼,행동,플레이어 체력,보스 체력,점수,소유 경험치,총 경험치,공격력,공격 성공 확률,공격력 강화 레벨,정확도 강화 레벨
2024-04-17 22:47:38:43,게임 시작,게임 시작,3,0,0,0,0,0,0,0,0
2024-04-17 22:47:49:50,공격,성공,3,300,0,0,0,1,100,1,1
2024-04-17 22:47:50:19,공격,성공,3,299,1,30,30,1,91,1,1
2024-04-17 22:47:50:60,공격,성공,3,298,31,60,60,1,82.81,1,1
2024-04-17 22:47:50:86,공격,실패,3,297,61,90,90,1,75.3571,1,1
2024-04-17 22:47:51:26,공격,성공,2,297,61,90,90,1,100,1,1
2024-04-17 22:47:51:43,공격,성공,2,296,91,120,120,1,91,1,1
2024-04-17 22:47:51:60,공격,성공,2,295,121,150,150,1,82.81,1,1
2024-04-17 22:47:51:78,공격,실패,2,294,151,180,180,1,75.3571,1,1
2024-04-17 22:47:51:93,공격,성공,1,294,151,180,180,1,100,1,1
